movieId,yearReleased
1,1995
2,1995
3,1995
4,1995
5,1995
6,1995
7,1995
8,1995
9,1995
10,1995
11,1995
12,1995
13,1995
14,1995
15,1995
16,1995
17,1995
18,1995
19,1995
20,1995
21,1995
22,1995
23,1995
24,1995
25,1995
26,1995
27,1995
28,1995
29,1995
30,1995
31,1995
32,1995
33,1995
34,1995
35,1995
36,1995
37,1995
38,1995
39,1995
40,1995
41,1995
42,1995
43,1995
44,1995
45,1995
46,1995
47,1995
48,1995
49,1995
50,1995
51,1994
52,1995
53,1994
54,1995
55,1995
56,1995
57,1995
58,1994
59,1995
60,1995
61,1996
62,1995
63,1996
64,1996
65,1996
66,1996
67,1995
68,1995
69,1995
70,1996
71,1995
72,1995
73,1995
74,1996
75,1996
76,1995
77,1995
78,1995
79,1996
80,1995
81,1995
82,1995
83,1995
84,1995
85,1995
86,1996
87,1996
88,1996
89,1995
90,1995
92,1996
93,1995
94,1996
95,1996
96,1995
97,1995
98,1994
99,1995
100,1996
101,1996
102,1996
103,1996
104,1996
105,1995
106,1994
107,1996
108,1996
109,1995
110,1995
111,1976
112,1995
113,1996
114,1995
115,1995
116,1995
117,1995
118,1996
119,1995
120,1996
121,1992
122,1992
123,1994
124,1995
125,1996
126,1994
127,1994
128,1994
129,1996
130,1995
131,1995
132,1995
133,1995
134,1995
135,1996
136,1995
137,1995
138,1995
139,1995
140,1996
141,1996
142,1988
143,1995
144,1995
145,1995
146,1995
147,1995
148,1995
149,1994
150,1995
151,1995
152,1995
153,1995
154,1967
155,1995
156,1995
157,1995
158,1995
159,1995
160,1995
161,1995
162,1994
163,1995
164,1995
165,1995
166,1995
167,1995
168,1995
169,1995
170,1995
171,1995
172,1995
173,1995
174,1995
175,1995
176,1995
177,1995
178,1993
179,1995
180,1995
181,1995
182,1995
183,1994
184,1994
185,1995
186,1995
187,1995
188,1995
189,1995
190,1995
191,1995
192,1995
193,1995
194,1995
195,1995
196,1995
197,1995
198,1995
199,1964
200,1995
201,1995
202,1995
203,1995
204,1995
205,1995
206,1995
207,1995
208,1995
209,1995
210,1995
211,1994
212,1995
213,1994
214,1994
215,1995
216,1995
217,1995
218,1995
219,1995
220,1995
222,1995
223,1994
224,1995
225,1994
226,1995
227,1994
228,1995
229,1994
230,1995
231,1994
232,1994
233,1994
234,1994
235,1994
236,1995
237,1995
238,1995
239,1995
240,1995
241,1995
242,1994
243,1995
244,1995
245,1994
246,1994
247,1994
248,1994
249,1994
250,1995
251,1995
252,1994
253,1994
254,1995
255,1995
256,1994
257,1995
258,1995
259,1995
260,1977
261,1994
262,1995
263,1994
264,1994
265,1992
266,1994
267,1995
268,1994
269,1993
270,1994
271,1995
272,1994
273,1994
274,1995
275,1994
276,1994
277,1994
278,1995
279,1995
280,1995
281,1994
282,1994
283,1995
284,1993
285,1993
286,1995
287,1994
288,1994
289,1994
290,1994
291,1996
292,1995
293,1994
294,1995
295,1995
296,1994
297,1995
298,1992
299,1994
300,1994
301,1994
302,1994
303,1995
304,1995
305,1994
306,1994
307,1993
308,1994
309,1994
310,1995
311,1994
312,1995
313,1994
314,1994
315,1994
316,1994
317,1994
318,1994
319,1994
320,1993
321,1993
322,1995
324,1994
325,1995
326,1994
327,1995
328,1995
329,1994
330,1995
331,1994
332,1995
333,1995
334,1994
335,1995
336,1995
337,1993
338,1995
339,1995
340,1994
341,1994
342,1994
343,1995
344,1994
345,1994
346,1993
347,1992
348,1994
349,1994
350,1994
351,1994
352,1994
353,1994
354,1994
355,1994
356,1994
357,1994
358,1995
359,1994
360,1994
361,1994
362,1994
363,1993
364,1994
365,1993
366,1994
367,1994
368,1994
369,1994
370,1994
371,1994
372,1994
373,1992
374,1994
375,1994
376,1994
377,1994
378,1994
379,1994
380,1994
381,1994
382,1994
383,1994
384,1995
385,1994
386,1994
387,1994
388,1995
389,1994
390,1965
391,1994
392,1993
393,1994
394,1995
395,1995
396,1995
397,1995
398,1995
399,1995
400,1995
401,1995
402,1996
403,1995
404,1994
405,1994
406,1994
407,1995
408,1994
409,1994
410,1993
411,1994
412,1993
413,1994
414,1994
415,1993
416,1994
417,1994
418,1993
419,1993
420,1994
421,1994
422,1994
423,1994
424,1994
425,1994
426,1993
427,1993
428,1993
429,1994
430,1993
431,1993
432,1994
433,1994
434,1993
435,1993
436,1994
437,1994
438,1994
439,1993
440,1993
441,1993
442,1993
443,1994
444,1993
445,1993
446,1993
447,1994
448,1993
449,1994
450,1994
451,1993
452,1994
453,1993
454,1993
455,1993
456,1994
457,1993
458,1993
459,1994
460,1994
461,1994
462,1994
463,1993
464,1993
465,1993
466,1993
467,1995
468,1995
469,1993
470,1994
471,1994
472,1994
473,1994
474,1993
475,1993
476,1994
477,1993
478,1994
479,1993
480,1993
481,1993
482,1994
483,1993
484,1994
485,1993
486,1993
487,1994
488,1993
489,1993
490,1993
491,1993
492,1993
493,1993
494,1996
495,1976
496,1994
497,1993
498,1993
499,1993
500,1993
501,1993
502,1994
503,1994
504,1994
505,1994
506,1992
507,1993
508,1993
509,1993
510,1993
511,1993
512,1994
513,1994
514,1994
515,1993
516,1994
517,1993
518,1994
519,1993
520,1993
521,1993
522,1992
523,1993
524,1993
525,1993
526,1992
527,1993
528,1994
529,1993
530,1994
531,1993
532,1994
533,1994
534,1993
535,1993
536,1994
537,1994
538,1993
539,1993
540,1993
541,1982
542,1993
543,1993
544,1993
545,1985
546,1993
547,1994
548,1994
549,1993
550,1994
551,1993
552,1993
553,1993
554,1994
555,1993
556,1993
558,1994
559,1993
560,1994
561,1994
562,1995
563,1993
564,1994
565,1993
566,1994
567,1993
568,1993
569,1994
